Country;Year;Month;Date;Total;Source
Brunei Darussalam;2019;Jan;2019.Jan;27.826;https://www.data.gov.bn/Lists/dataset/mdisplay.aspx?ID=581&ContentTypeId=0x0100ADAC552F7FB63041913A4BA7C76C9722
Brunei Darussalam;2019;Feb;2019.Feb;27.118;
Brunei Darussalam;2019;Mar;2019.Mar;26.230;
Brunei Darussalam;2019;Apr;2019.Apr;29.683;
Brunei Darussalam;2019;Mei;2019.May;19.841;
Brunei Darussalam;2019;Jun;2019.Jun;29.675;
Brunei Darussalam;2019;Jul;2019.Jul;24.164;
Brunei Darussalam;2019;Agu;2019.Aug;28.470;
Brunei Darussalam;2019;Sep;2019.Sep;25.287;
Brunei Darussalam;2019;Okt;2019.Oct;29.122;
Brunei Darussalam;2019;Nov;2019.Nov;32.462;
Brunei Darussalam;2019;Des;2019.Dec;33.366;
Brunei Darussalam;2020;Jan;2020.Jan;34.101;
Brunei Darussalam;2020;Feb;2020.Feb;18.760;
Brunei Darussalam;2020;Mar;2020.Mar;7.677;
Brunei Darussalam;2020;Apr;2020.Apr;6;
Brunei Darussalam;2020;Mei;2020.May;26;
Brunei Darussalam;2020;Jun;2020.Jun;183;
Brunei Darussalam;2020;Jul;2020.Jul;118;
Brunei Darussalam;2020;Agu;2020.Aug;160;
Brunei Darussalam;2020;Sep;2020.Sep;273;
Brunei Darussalam;2020;Okt;2020.Oct;143;
Brunei Darussalam;2020;Nov;2020.Nov;353;
Brunei Darussalam;2020;Des;2020.Dec;525;
Cambodia;2019;Jan;2019.Jan;647206;https://www.nagacorp.com/eng/ir/tourism/tourism_statistics_202012.pdf
Cambodia;2019;Feb;2019.Feb;597483;https://www.nagacorp.com/eng/ir/tourism.php
Cambodia;2019;Mar;2019.Mar;633164;
Cambodia;2019;Apr;2019.Apr;537656;
Cambodia;2019;Mei;2019.May;472952;
Cambodia;2019;Jun;2019.Jun;450013;
Cambodia;2019;Jul;2019.Jul;502421;
Cambodia;2019;Agu;2019.Aug;519502;
Cambodia;2019;Sep;2019.Sep;453909;
Cambodia;2019;Okt;2019.Oct;481782;
Cambodia;2019;Nov;2019.Nov;602042;
Cambodia;2019;Des;2019.Dec;712462;
Cambodia;2020;Jan;2020.Jan;547963;
Cambodia;2020;Feb;2020.Feb;383863;
Cambodia;2020;Mar;2020.Mar;223400;
Cambodia;2020;Apr;2020.Apr;4841;
Cambodia;2020;Mei;2020.May;10475;
Cambodia;2020;Jun;2020.Jun;12284;
Cambodia;2020;Jul;2020.Jul;20689;
Cambodia;2020;Agu;2020.Aug;23028;
Cambodia;2020;Sep;2020.Sep;21137;
Cambodia;2020;Okt;2020.Oct;20210;
Cambodia;2020;Nov;2020.Nov;18184;
Cambodia;2020;Des;2020.Dec;20069;
Indonesia;2019;Jan;2019.Jan;1.201.735;https://www.bps.go.id/pressrelease.html?katsubjek=16&Brs%5Btgl_rilis_ind%5D=&Brs%5Btahun%5D=2020&yt0=Cari
Indonesia;2019;Feb;2019.Feb;1.243.996;
Indonesia;2019;Mar;2019.Mar;1.311.911;
Indonesia;2019;Apr;2019.Apr;1.274.231;
Indonesia;2019;Mei;2019.May;1.249.536;
Indonesia;2019;Jun;2019.Jun;1.434.103;
Indonesia;2019;Jul;2019.Jul;1.468.173;
Indonesia;2019;Agu;2019.Aug;1.530.268;
Indonesia;2019;Sep;2019.Sep;1.388.719;
Indonesia;2019;Okt;2019.Oct;1.346.343;
Indonesia;2019;Nov;2019.Nov;1.157.483;
Indonesia;2019;Des;2019.Dec;1.405.554;
Indonesia;2020;Jan;2020.Jan;1.272.083;
Indonesia;2020;Feb;2020.Feb;885.067;
Indonesia;2020;Mar;2020.Mar;470.898;
Indonesia;2020;Apr;2020.Apr;160.042;
Indonesia;2020;Mei;2020.May;163.646;
